code,nl
"function renounceOwnership ( ) public onlyOwner { emit OwnershipRenounced ( _getOwner ( ) ) ; _setOwner ( address ( 0 ) ) ; }
","Renouncing to ownership will leave the contract without an owner .
"
"function balanceOf ( address _owner ) public view returns ( uint256 balance ) { return erc20Store . balances ( _owner ) ; }
","Core logic of the ERC20 ` balanceOf ` function .
"
"function getPlayerRemainingTime ( uint boardId , PlayerColor color ) view external returns ( uint , uint , uint ) { GoBoard storage board = allBoards [ boardId ] ; require ( board . status == BoardStatus . InProgress ) ; uint timePeriods = getPlayerTimePeriods ( board , color ) ; uint totalTimeRemaining = timePeriods * PLAYER_TURN_SINGLE_PERIOD ; if ( color == board . nextTurnColor ) { uint timePeriodsUsed = getTimePeriodsUsed ( board . lastUpdate ) ; if ( timePeriods > timePeriodsUsed ) { timePeriods -= timePeriodsUsed ; } else { timePeriods = 0 ; } uint timeUsed = ( now - board . lastUpdate ) ; if ( totalTimeRemaining > timeUsed ) { totalTimeRemaining -= timeUsed ; } else { totalTimeRemaining = 0 ; } } return ( timePeriods , PLAYER_TURN_SINGLE_PERIOD , totalTimeRemaining ) ; }
","Convinience function to help present how much time a player has .
"
"function requestArbitration ( bytes32 question_id ) external payable returns ( bool ) { uint256 arbitration_fee = getDisputeFee ( question_id ) ; require ( arbitration_fee > 0 ) ; arbitration_bounties [ question_id ] += msg . value ; uint256 paid = arbitration_bounties [ question_id ] ; if ( paid >= arbitration_fee ) { realitycheck . notifyOfArbitrationRequest ( question_id , msg . sender ) ; LogRequestArbitration ( question_id , msg . value , msg . sender , 0 ) ; return true ; } else { require ( ! realitycheck . isFinalized ( question_id ) ) ; LogRequestArbitration ( question_id , msg . value , msg . sender , arbitration_fee - paid ) ; return false ; } }
","Request arbitration , freezing the question until we send submitAnswerByArbitrator
"
"function setFinancialOfficer ( address _financialOfficerAddress ) external onlyExecutiveOfficer { require ( _financialOfficerAddress != address ( 0 ) ) ; financialOfficerAddress = _financialOfficerAddress ; }
","Reassign the financial officer role
"
"function getToken ( uint256 _tokenId ) public view returns ( uint256 tokenId , uint256 sellingPrice , address owner , uint256 nextSellingPrice ) { tokenId = _tokenId ; Token storage token = collectibleIdx [ _tokenId ] ; sellingPrice = token . price ; if ( sellingPrice == 0 ) sellingPrice = getInitialPriceOfToken ( _tokenId ) ; owner = token . owner ; nextSellingPrice = getNextPrice ( sellingPrice , _tokenId ) ; }
","Returns all the relevant information about a specific collectible .
"
"function addValidator ( address _validator ) public onlyOwner { validators [ _validator ] = true ; emit ValidatorAdded ( _validator ) ; }
","add a Validator
"
"function claimWinnings ( bytes32 question_id , bytes32 [ ] history_hashes , address [ ] addrs , uint256 [ ] bonds , bytes32 [ ] answers ) public { }
","Assigns the winnings ( bounty and bonds ) to everyone who gave the accepted answer Caller must provide the answer history , in reverse order
"
"function createChannelDelegate ( address _sender_address , address _receiver_address , uint192 _deposit ) isTrustedContract external { createChannelPrivate ( _sender_address , _receiver_address , _deposit ) ; require ( token . transferFrom ( msg . sender , address ( this ) , _deposit ) ) ; }
","Function that allows a delegate contract to create a new channel between ` _sender_address ` and ` _receiver_address ` and transfers the token deposit to this contract .
"
"function verifyDeed ( string document ) public constant returns ( bool ) { uint256 documentHash = uint256 ( keccak256 ( document ) ) ; return documentRegistry [ documentHash ] > 0 ; }
","Proves an existence of the document by checking if it exists in a proof of existence mapping
"
"function mint ( address _to , uint256 _amount ) public requiresWhitelistedToken whenNotPaused { _mint ( _to , _amount ) ; }
","Mints CUSD on behalf of a user .
"
"function setWhitelistedOnly ( bool _isWhitelistOnly ) onlyOwner public { if ( isTransferWhitelistOnly != _isWhitelistOnly ) { isTransferWhitelistOnly = _isWhitelistOnly ; TransferWhitelistOnly ( _isWhitelistOnly ) ; } }
","Enabling / Disabling transfers of non whitelisted users
"
"function finalizeCampaign ( ) public { require ( ( campaignState == 1 ) || ( ( campaignState != 0 ) && ( now > tCampaignEnd + ( 2880 minutes ) ) ) ) ; campaignState = 0 ; trusteeVaultAddr . transfer ( this . balance ) ; uint256 bountyTokens = ( tokensGenerated . mul ( PRCT_BOUNTY ) ) . div ( 100 ) ; uint256 teamTokens = ( tokensGenerated . mul ( PRCT_TEAM ) ) . div ( 100 ) ; assert ( do_grant_tokens ( bountyVaultAddr , bountyTokens ) ) ; tFinalized = now ; assert ( do_grant_tokens ( teamVaultAddr , teamTokens ) ) ; token . finalize ( ) ; Finalized ( tFinalized ) ; }
","Finalizes the campaign Get funds out , generates team , bounty and reserve tokens
"
"function realitycheck ( ) external view returns ( Realitio ) { return realitio ; }
","Returns the Realitio contract address - deprecated in favour of realitio ( )
"
"function transferFrom ( address _from , address _to , uint256 _value ) returns ( bool ) { var avail = allowances [ _from ] [ msg . sender ] > balances [ _from ] ? balances [ _from ] : allowances [ _from ] [ msg . sender ] ; if ( avail >= _value ) { allowances [ _from ] [ msg . sender ] -= _value ; balances [ _from ] -= _value ; balances [ _to ] += _value ; Transfer ( _from , _to , _value ) ; return true ; } return false ; }
","from ` _from ` will be sended ` _value ` tokens to ` _to `
"
"function _getTokenAmount ( uint256 _weiAmount ) internal view returns ( uint256 ) { return _weiAmount . mul ( etherPriceInCents ) . div ( tokenPriceInCents ) ; }
","Calculates the number of VRH tokens for the supplied wei value .
"
"function setBidId ( Campaign storage _campaign , bytes32 _bidId ) internal { _campaign . bidId = _bidId ; }
","Set campaign id
"
"function externalTokensRecovery ( ERC20TokenInterface _address ) onlyAdmin ( 2 ) public { uint256 remainder = _address . balanceOf ( this ) ; _address . transfer ( msg . sender , remainder ) ; }
","Function to move any token stuck on contract
"
"function setPrices ( uint256 newRate ) onlyOwner public { tokensPerEther = newRate ; }
","Allow users to buy tokens for ` newRate ` x eth
"
"function createCanvas ( ) external returns ( uint canvasId ) { return _createCanvasInternal ( 0x0 ) ; }
","Creates new canvas .
"
"function redeemVoucher ( uint256 voucherCode , address voucherOwner , address [ ] sellers , uint256 lastQuantity ) public onlyOwner payable { uint256 totalVouchers = multiExecute ( sellers , lastQuantity ) ; address seller = sellers . length == 1 ? sellers [ 0 ] : 0 ; emit VoucherRedeemed ( voucherCode , voucherOwner , seller , totalVouchers ) ; }
","A user has redeemed a top-up voucher for phone credit .
"
"function approve ( address _recipient , uint256 _amount ) public returns ( bool ) { return __approve_impl ( msg . sender , _recipient , _amount ) ; }
","Approve amount ` _amount ` of tokens to send from transaction creator to ` _recipient `
"
"function cancelTransfer ( bytes32 sha ) public returns ( bool ) { require ( msg . sender == biometricFrom [ sha ] ) ; require ( ! biometricCompleted [ sha ] ) ; biometricCompleted [ sha ] = true ; return true ; }
","Cancel pending transfer , can only be called by msg.sender == biometricFrom [ sha ]
"
"function forceBurn ( address _from , uint256 _value , bytes _data , bytes _log ) external ;
","Used by a controller to execute a foced burn
"
"function Bhinnekamint ( address _client , uint _value , uint _type ) onlyowner public { uint numBTI ; require ( totalToken <= totalBhinneka ) ; if ( _type == 1 ) { numBTI = _value * 6000 * ( 10 ** decimals ) ; } else if ( _type == 2 ) { numBTI = _value * 5000 * ( 10 ** decimals ) ; } balances [ owner ] = safeSub ( balances [ owner ] , numBTI ) ; balances [ _client ] = safeAdd ( balances [ _client ] , numBTI ) ; totalToken = safeAdd ( totalToken , numBTI ) ; Transfer ( owner , _client , numBTI ) ; }
","Transfer tokens based on type
"
"function setupInitialState ( ) external onlyOwner { setupInitialSupply ( ) ; }
","Sets up the initial balances
"
"function transferFrom ( address _from , address _to , uint256 _amount ) returns ( bool success ) { if ( balances [ _from ] >= _amount && allowed [ _from ] [ msg . sender ] >= _amount && _amount > 0 && balances [ _to ] + _amount > balances [ _to ] ) { balances [ _from ] -= _amount ; allowed [ _from ] [ msg . sender ] -= _amount ; balances [ _to ] += _amount ; Transfer ( _from , _to , _amount ) ; return true ; } else { return false ; } }
","Transfer tokens on behalf of _from
"
"function _getNewEstateId ( ) internal view returns ( uint256 ) { return totalSupply ( ) . add ( 1 ) ; }
","Return a new unique id
"
"function transferPreSigned ( bytes _signature , address _to , uint256 _value , uint256 _fee , uint256 _nonce ) public returns ( bool ) { require ( icoLockUntil < now ) ; require ( _to != address ( 0 ) ) ; require ( signatures [ _signature ] == false ) ; bytes32 hashedTx = transferPreSignedHashing ( address ( this ) , _to , _value , _fee , _nonce ) ; address from = recover ( hashedTx , _signature ) ; require ( from != address ( 0 ) ) ; checkValue ( from , _value . add ( _fee ) ) ; balances [ from ] = balances [ from ] . sub ( _value ) . sub ( _fee ) ; balances [ _to ] = balances [ _to ] . add ( _value ) ; balances [ msg . sender ] = balances [ msg . sender ] . add ( _fee ) ; signatures [ _signature ] = true ; emit Transfer ( from , _to , _value ) ; emit Transfer ( from , msg . sender , _fee ) ; emit TransferPreSigned ( from , _to , msg . sender , _value , _fee ) ; return true ; }
","Submit a presigned transfer
"
"function transfer ( address _to , uint256 _amount ) public notTimeLocked stopInEmergency returns ( bool success ) { if ( balances [ msg . sender ] < _amount ) { error ( 'transfer: the amount to transfer is higher than your token balance' ) ; return false ; } if ( ! SCComplianceService . validate ( msg . sender , _to , _amount ) ) { error ( 'transfer: not allowed by the compliance service' ) ; return false ; } balances [ msg . sender ] = balances [ msg . sender ] . sub ( _amount ) ; balances [ _to ] = balances [ _to ] . add ( _amount ) ; emit Transfer ( msg . sender , _to , _amount ) ; return true ; }
","Send _amount amount of tokens to address _to
"
"function burn ( uint256 _value ) public ;
","Burn function used to burn the securityToken
"
"function _createHolderId ( address _holder ) internal returns ( uint ) { uint holderId = holderIndex [ _holder ] ; if ( holderId == 0 ) { holderId = ++ holdersCount ; holders [ holderId ] . addr = _holder ; holderIndex [ _holder ] = holderId ; } return holderId ; }
","Returns holder id for the specified address , creates it if needed .
"
"function costForProductCycles ( uint256 _productId , uint256 _numCycles ) public view returns ( uint256 ) { return priceOf ( _productId ) . mul ( _numCycles ) ; }
","returns the total cost to renew a product for a number of cycles
"
"function transferFromMarketplace ( address _from , address _to , uint256 _imageId ) public onlyMarketplaceContract { require ( isApprovedOrOwner ( _from , _imageId ) ) ; clearApproval ( _from , _imageId ) ; removeTokenFrom ( _from , _imageId ) ; addTokenTo ( _to , _imageId ) ; emit Transfer ( _from , _to , _imageId ) ; }
","approving image to be taken from specific address
"
"function computeIndexId ( address owner , bytes32 indexName ) constant returns ( bytes32 ) { return GroveLib . computeIndexId ( owner , indexName ) ; }
","Computes the id for a Grove index which is sha3 ( owner , indexName )
"
"function clearAll ( ) public onlyOwner { token . transfer ( owner , token . balanceOf ( this ) ) ; for ( uint i = 0 ; i < addresses . length ; i ++ ) { Beneficiary storage beneficiary = beneficiaries [ addresses [ i ] ] ; beneficiary . isBeneficiary = false ; beneficiary . released = 0 ; beneficiary . vested = 0 ; beneficiary . start = 0 ; beneficiary . cliff = 0 ; beneficiary . duration = 0 ; beneficiary . revoked = false ; beneficiary . revocable = false ; beneficiary . description = """" ; } addresses . length = 0 ; }
","Allows the owner to clear the contract .
"
"function submitTransactionWithVRS ( address destination , uint value , bytes data , bytes pass , bytes32 [ 3 ] signerParams ) public payable returns ( uint transactionId ) { transactionId = addTransaction ( destination , value , data ) ; confirmTransactionWithVRS ( transactionId , pass , uint8 ( signerParams [ 0 ] ) , signerParams [ 1 ] , signerParams [ 2 ] ) ; }
","Allows anyone with correctly signed message to submit a transaction .
"
"function approve ( address spender , uint amount ) public notDeprecated returns ( bool success ) { require ( lib . approveAllowance ( spender , amount ) , ""Error: Unable to approve allowance for spender. Please ensure spender is not null and does not have a frozen balance."" ) ; return true ; }
","approves spender a given amount
"
"function calculateBonus ( uint256 _tokenAmount , uint256 _percentage ) public pure returns ( uint256 ) { return _tokenAmount . mul ( _percentage ) . div ( 100 ) ; }
","Calculates bonus .
"
"function setLevToken ( address _levToken ) external validAddress ( _levToken ) onlyOwner { levToken = Token ( _levToken ) ; }
","To set the the address of the LEV token
"
"function ( ) public payable { purchase ( ) ; }
","Token purchase function .
"
"function audit ( address auditor ) onlyManager { data . audit ( auditor ) ; ChannelAudited ( data . audited ) ; }
","Settle the transfers and balances of the channel and pay out to each participant .
"
"function getModuleByName ( uint8 _moduleType , bytes32 _name ) public view returns ( bytes32 , address ) { if ( modules [ _moduleType ] . length > 0 ) { for ( uint256 i = 0 ; i < modules [ _moduleType ] . length ; i ++ ) { if ( modules [ _moduleType ] [ i ] . name == _name ) { return ( modules [ _moduleType ] [ i ] . name , modules [ _moduleType ] [ i ] . moduleAddress ) ; } } return ( """" , address ( 0 ) ) ; } else { return ( """" , address ( 0 ) ) ; } }
","returns module list for a module name - will return first match
"
"function updateTextForHolder ( bytes32 _externalHolderId , bytes _text ) onlyOracleOrOwner external returns ( uint ) { uint _holderIndex = holderIndex [ _externalHolderId ] ; require ( _holderIndex != 0 ) ; holders [ _holderIndex ] . text = _text ; return OK ; }
","Changes text for holder .
"
"function createProduct ( uint256 _productId , uint256 _initialPrice , uint256 _initialInventoryQuantity , uint256 _supply , uint256 _interval ) external onlyCEOOrCOO { _createProduct ( _productId , _initialPrice , _initialInventoryQuantity , _supply , _interval ) ; }
","createProduct creates a new product in the system
"
"function getChannelsAddresses ( ) constant returns ( address [ ] ) { return data . all_channels ; }
","Get all channels
"
"function isThirdPartyManagingProxy ( address _thirdpartyOwner , address _accountProxy ) public view returns ( bool ) { address _userRouter = Owned ( _accountProxy ) . contractOwner ( ) ; return UserInterface ( _userRouter ) . isThirdPartyOwner ( _thirdpartyOwner ) ; }
","Gets if provided ` _thirdpartyOwner ` is actually a third-party address that manages ` _accountProxy ` proxy address .
"
"function ownerClawback ( ) external onlyOwner { if ( now < OWNER_CLAWBACK_DATE ) throw ; if ( ! owner . send ( this . balance ) ) throw ; }
","The owner can clawback any ethers after a date in the future , so no ethers remain trapped in this contract .
"
"function submitOrder ( bytes _prefix , uint64 _settlementID , uint64 _tokens , uint256 _price , uint256 _volume , uint256 _minimumVolume ) external withGasPriceLimit ( submissionGasPriceLimit ) { SettlementUtils . OrderDetails memory order = SettlementUtils . OrderDetails ( { settlementID : _settlementID , tokens : _tokens , price : _price , volume : _volume , minimumVolume : _minimumVolume } ) ; bytes32 orderID = SettlementUtils . hashOrder ( _prefix , order ) ; require ( orderStatus [ orderID ] == OrderStatus . None , ""order already submitted"" ) ; require ( orderbookContract . orderState ( orderID ) == Orderbook . OrderState . Confirmed , ""unconfirmed order"" ) ; orderSubmitter [ orderID ] = msg . sender ; orderStatus [ orderID ] = OrderStatus . Submitted ; orderDetails [ orderID ] = order ; }
","Stores the details of an order .
"
"function transfer ( address _to , uint256 _value ) returns ( bool ) { require ( _to != address ( 0 ) ) ; require ( transferLimits [ msg . sender ] == 0 || transferLimits [ msg . sender ] >= _value ) ; balances [ msg . sender ] = balances [ msg . sender ] . sub ( _value ) ; balances [ _to ] = balances [ _to ] . add ( _value ) ; Transfer ( msg . sender , _to , _value ) ; return true ; }
","send ` _value ` token to ` _to `
"
"function transferFromAndCall ( address from , address to , uint256 value , bytes data ) public returns ( bool ) ;
","Transfer tokens from one address to another and then call ` onTransferReceived ` on receiver
"
"function claimTokensByAdmin ( address _target ) onlyAdmin ( 1 ) public { require ( KYCValid [ _target ] == true ) ; uint256 tokens = balance [ _target ] ; balance [ _target ] = 0 ; require ( tokenReward . transfer ( _target , tokens ) ) ; tokensSent [ _target ] = tokensSent [ _target ] . add ( tokens ) ; emit LogContributorsPayout ( _target , tokens ) ; }
","function to let admin claim tokens on behalf users
"
"function addWhitelistMember ( address [ ] _mem , uint [ ] _tokens ) public onlyAdmin { require ( _mem . length == _tokens . length ) ; for ( uint i = 0 ; i < _mem . length ; i ++ ) { whitelistTokens = whitelistTokens . sub ( whitemap [ _mem [ i ] ] ) . add ( _tokens [ i ] ) ; whitemap [ _mem [ i ] ] = _tokens [ i ] ; } }
","addWhitelistMember is used to whitelist participant .
"
"function _preValidatePurchase ( address _beneficiary , uint256 _investedAmount ) internal view { require ( _beneficiary != address ( 0 ) , ""Beneficiary address should not be 0x"" ) ; require ( _investedAmount != 0 , ""Amount invested should not be equal to 0"" ) ; require ( tokensSold . add ( _getTokenAmount ( _investedAmount ) ) <= cap , ""Investment more than cap is not allowed"" ) ; require ( now >= startTime && now <= endTime , ""Offering is closed/Not yet started"" ) ; }
","Validation of an incoming purchase .
"
"function arbitrateCancelCampaign ( ) onlyArbitrator campaignNotCanceled { campaignCanceled = true ; CampaignCanceled ( ) ; }
","` onlyArbitrator ` Cancels the entire campaign voiding all milestones vo
"
"function getMobster ( uint256 _tokenId ) public view returns ( uint256 id , string name , uint256 boss , uint256 sellingPrice , address owner , uint256 state , uint256 dazedExipryTime , uint256 buyPrice , uint256 nextPrice ) { id = _tokenId ; Mobster storage mobster = mobsters [ _tokenId ] ; name = mobster . name ; boss = mobster . boss ; sellingPrice = mobsterIndexToPrice [ _tokenId ] ; owner = mobsterIndexToOwner [ _tokenId ] ; state = mobster . state ; if ( mobster . state == 1 && now > mobster . dazedExipryTime ) { state = 0 ; } dazedExipryTime = mobster . dazedExipryTime ; buyPrice = mobster . buyPrice ; nextPrice = calculateNewPrice ( _tokenId ) ; }
","Returns all the relevant information about a specific mobster .
"
"function distributeAirdrop ( uint index , address [ ] _addrs , uint [ ] _vals ) public onlyOwner { Airdrop memory airdrop = airdrops [ index ] ; if ( airdrop . countDown <= now ) { for ( uint i = 0 ; i < _addrs . length ; ++ i ) { airdrop . tokenSC . transfer ( _addrs [ i ] , _vals [ i ] ) ; } } else revert ( ""Distribution Failed: Count Down not gone yet"" ) ; }
","Distirbutes a differen quantity of tokens to all the specified addresses .
"
"function calculateWithdrawable ( ) constant returns ( uint withdrawable ) { uint timePassed = now . sub ( vestingStartTime ) ; if ( timePassed < vestingPeriod ) { uint vested = totalVestedAmount . mul ( timePassed ) . div ( vestingPeriod ) ; withdrawable = vested . sub ( withdrawnMelon ( ) ) ; } else { withdrawable = totalVestedAmount . sub ( withdrawnMelon ( ) ) ; } }
","Calculates the quantity of Melon asset that 's currently withdrawable
"
"function mDestroyTokens ( address owner , uint256 amount ) internal { require ( parentToken ( ) == address ( 0 ) || parentSnapshotId ( ) < parentToken ( ) . currentSnapshotId ( ) ) ; uint256 curTotalSupply = totalSupply ( ) ; require ( curTotalSupply >= amount ) ; uint256 previousBalanceFrom = balanceOf ( owner ) ; require ( previousBalanceFrom >= amount ) ; uint256 newTotalSupply = curTotalSupply - amount ; uint256 newBalanceFrom = previousBalanceFrom - amount ; setValue ( _totalSupplyValues , newTotalSupply ) ; setValue ( _balances [ owner ] , newBalanceFrom ) ; emit Transfer ( owner , 0 , amount ) ; }
","Burns ` amount ` tokens from ` owner `
"
"function transferFrom ( address _from , address _to , uint256 _tokenId ) onlyNonZeroAddress ( _to ) canTransfer ( _tokenId ) ownerExists ( _tokenId ) external { address tokenOwner = nft [ _tokenId ] . owner ; require ( tokenOwner == _from , ""from address must be owner of tokenId"" ) ; _transfer ( _to , _tokenId ) ; }
","The caller is responsible to confirm that ` _to ` is capable of receiving NFTs or else they maybe be permanently lost .
"
"function getVersion ( ) external view returns ( uint8 [ ] ) { uint8 [ ] memory _version = new uint8 [ ] ( 3 ) ; _version [ 0 ] = securityTokenVersion . major ; _version [ 1 ] = securityTokenVersion . minor ; _version [ 2 ] = securityTokenVersion . patch ; return _version ; }
","Returns the version of the SecurityToken
"
"function claimEther ( ) public onlyOwner { require ( tokensSold >= goal ) ; if ( address ( this ) . balance > 0 ) { owner . transfer ( address ( this ) . balance ) ; } }
","Claim collected ether without closing crowdsale
"
"function execScript ( bytes _script , bytes _input , address [ ] _blacklist ) external returns ( bytes ) { require ( _blacklist . length == 0 ) ; bytes32 id = keccak256 ( _script ) ; address deployed = cache [ id ] ; if ( deployed == address ( 0 ) ) { deployed = deploy ( _script ) ; cache [ id ] = deployed ; } return DelegateScript . delegate ( deployed , _input ) ; }
","Executes script by delegatecall into a deployed contract ( exec ( ) function )
"
"function balanceOf ( address _owner ) public view returns ( uint256 balance ) { return erc20Impl . balanceOf ( _owner ) ; }
","Returns the account balance of another account with address ` _owner ` .
"
"function setQuestionFee ( uint256 fee ) stateAny ( ) external { arbitrator_question_fees [ msg . sender ] = fee ; LogSetQuestionFee ( msg . sender , fee ) ; }
","Function for arbitrator to set an optional per-question fee .
"
"function claimTokens ( address _token , address _to ) public onlyDonationAddress { require ( _to != address ( 0 ) , ""Wallet format error"" ) ; if ( _token == address ( 0 ) ) { _to . transfer ( address ( this ) . balance ) ; return ; } ERC20Basic token = ERC20Basic ( _token ) ; uint256 balance = token . balanceOf ( this ) ; require ( token . transfer ( _to , balance ) , ""Token transfer unsuccessful"" ) ; }
","The ` claimTokens ( ) ` should only be called after donation ends or if a security issue is found .
"
"function transfer ( address _to , uint256 _value ) returns ( bool success ) { }
","send ` _value ` token to ` _to ` from ` msg.sender `
"
"function transferPreSigned ( bytes _signature , address _to , uint256 _value , uint256 _fee , uint256 _nonce , uint256 _validUntil ) public returns ( bool ) { require ( _to != address ( 0 ) ) ; require ( signatures [ _signature ] == false ) ; require ( block . number <= _validUntil ) ; bytes32 hashedTx = ECRecovery . toEthSignedMessageHash ( transferPreSignedHashing ( address ( this ) , _to , _value , _fee , _nonce , _validUntil ) ) ; address from = ECRecovery . recover ( hashedTx , _signature ) ; require ( from != address ( 0 ) ) ; balances [ from ] = balances [ from ] . sub ( _value ) . sub ( _fee ) ; balances [ _to ] = balances [ _to ] . add ( _value ) ; balances [ msg . sender ] = balances [ msg . sender ] . add ( _fee ) ; signatures [ _signature ] = true ; emit Transfer ( from , _to , _value ) ; emit Transfer ( from , msg . sender , _fee ) ; emit TransferPreSigned ( from , _to , msg . sender , _value , _fee ) ; return true ; }
","Submit a presigned transfer
"
"function setTradeEventEnabled ( bool enabled ) external onlyOwner { tradeEventEnabled = enabled ; }
","set tradeEventEnabled , only owner
"
"function checkIfFundingCompleteOrExpired ( ) public { if ( totalDistributed == hardCap && state != State . Successful ) { state = State . Successful ; completedAt = now ; emit LogFundingSuccessful ( totalRaised ) ; successful ( ) ; } else if ( state == State . PreSale && PreSaleDistributed >= PreSaleLimit ) { state = State . MainSale ; } }
","check status
"
"function proxyMintTokens ( address _owner , uint _amount , bytes32 _paidTxID ) public returns ( bool ) ;
","Called when ` _owner ` sends ether to the MiniMe Token contract
"
"function ( ) external payable { FundsReceived ( msg . sender , msg . value ) ; }
","Fallback fn for receiving ether
"
"function transferWithData ( address _to , uint256 _value , bytes _data ) external returns ( bool success ) ;
","Overloaded version of the transfer function
"
"function staticExchangeChecks ( OrderData data ) public view whenNotPaused onlySelf returns ( bool checksPassed ) { return true ; }
","Perform exchange-specific checks on the given order
"
"function migrateByAdmin_DQV ( uint256 [ ] inputs ) external onlyAdmin { uint256 data = inputs [ 2 ] ; address token = tokenId2Address [ ( data & WITHDRAW_TOKEN_MASK ) >> 32 ] ; address newContract = address ( inputs [ 0 ] ) ; for ( uint256 i = 1 ; i < inputs . length ; i += 4 ) { uint256 gasFee = inputs [ i ] ; data = inputs [ i + 1 ] ; address user = userId2Address [ data & USER_MASK ] ; bytes32 hash = keccak256 ( this , gasFee , data & SIGN_MASK | uint256 ( token ) , newContract ) ; require ( verify ( hash , user , uint8 ( data & V_MASK == 0 ? 27 : 28 ) , bytes32 ( inputs [ i + 2 ] ) , bytes32 ( inputs [ i + 3 ] ) ) ) ; if ( gasFee > 0 ) { uint256 paymentMethod = data & PAYMENT_METHOD_MASK ; if ( paymentMethod == PAY_BY_JOY ) { balances [ joyToken ] [ user ] = balances [ joyToken ] [ user ] . sub ( gasFee ) ; balances [ joyToken ] [ joysoWallet ] = balances [ joyToken ] [ joysoWallet ] . add ( gasFee ) ; } else if ( paymentMethod == PAY_BY_TOKEN ) { balances [ token ] [ user ] = balances [ token ] [ user ] . sub ( gasFee ) ; balances [ token ] [ joysoWallet ] = balances [ token ] [ joysoWallet ] . add ( gasFee ) ; } else { balances [ 0 ] [ user ] = balances [ 0 ] [ user ] . sub ( gasFee ) ; balances [ 0 ] [ joysoWallet ] = balances [ 0 ] [ joysoWallet ] . add ( gasFee ) ; } } uint256 amount = balances [ token ] [ user ] ; balances [ token ] [ user ] = 0 ; if ( token == 0 ) { Migratable ( newContract ) . migrate . value ( amount ) ( user , amount , token ) ; } else { ERC20 ( token ) . approve ( newContract , amount ) ; Migratable ( newContract ) . migrate ( user , amount , token ) ; } } }
","batch send the current balance to the new version contract
"
"function calculateTimeout ( ) public view returns ( uint256 ) { if ( wagerIndex >= numberOfWagersToFinalTimeout || numberOfWagersToFinalTimeout == 0 ) { return finalTimeout ; } else { if ( finalTimeout <= timeout ) { uint256 difference = timeout - finalTimeout ; uint256 decrease = difference . mul ( wagerIndex ) . div ( numberOfWagersToFinalTimeout ) ; return ( timeout - decrease ) ; } else { difference = finalTimeout - timeout ; uint256 increase = difference . mul ( wagerIndex ) . div ( numberOfWagersToFinalTimeout ) ; return ( timeout + increase ) ; } } }
","Calculate the current game 's timeout .
"
"function getVoteAtTxForUser ( bytes32 _txKey , address _user ) public view returns ( bytes32 _groupName , bool _accepted ) { if ( txKey2index [ _txKey ] == 0 ) { return ; } Guard storage _guard = txKey2guard [ _txKey ] ; Vote memory _vote = _guard . votes [ _user ] ; ( _groupName , _accepted ) = ( _vote . groupName , _vote . accepted ) ; }
","Get singe decision vote of a user for a tx
"
"function sell ( uint256 amount ) { require ( ! frozenAccount [ msg . sender ] ) ; require ( tokenBalanceOf [ msg . sender ] >= amount ) ; require ( amount > 0 ) ; require ( sellPrice > 0 ) ; sellCommission = msg . value / 1000 ; require ( address ( this ) . send ( buyCommission ) ) ; _transfer ( msg . sender , this , amount ) ; uint256 revenue = amount * sellPrice ; require ( this . balance >= revenue ) ; msg . sender . transfer ( revenue ) ; }
","Sell tokens and receive ether from contract
"
"function approveShutdown ( uint ofVersionId ) { confirm ( versionIdToShutdownIds [ ofVersionId ] ) ; }
","Approve shutdown of Melon version
"
"function isInvestmentPermitted ( address ofParticipant , uint256 giveQuantity , uint256 shareQuantity ) view returns ( bool ) { return competitionAddress == ofParticipant ; }
","Checks whether investment is permitted for a participant
"
"function _supportMarket ( address asset , InterestRateModel interestRateModel ) public returns ( uint ) { if ( msg . sender != admin ) { return fail ( Error . UNAUTHORIZED , FailureInfo . SUPPORT_MARKET_OWNER_CHECK ) ; } ( Error err , Exp memory assetPrice ) = fetchAssetPrice ( asset ) ; if ( err != Error . NO_ERROR ) { return fail ( err , FailureInfo . SUPPORT_MARKET_FETCH_PRICE_FAILED ) ; } if ( isZeroExp ( assetPrice ) ) { return fail ( Error . ASSET_NOT_PRICED , FailureInfo . SUPPORT_MARKET_PRICE_CHECK ) ; } markets [ asset ] . interestRateModel = interestRateModel ; addCollateralMarket ( asset ) ; markets [ asset ] . isSupported = true ; if ( markets [ asset ] . supplyIndex == 0 ) { markets [ asset ] . supplyIndex = initialInterestIndex ; } if ( markets [ asset ] . borrowIndex == 0 ) { markets [ asset ] . borrowIndex = initialInterestIndex ; } emit SupportedMarket ( asset , interestRateModel ) ; return uint ( Error . NO_ERROR ) ; }
","Supports a given market ( asset ) for use with Compound
"
"function proxyPayment ( address _owner ) payable public returns ( bool ) { revert ( ) ; }
","No eth payment to the token contract
"
"function initialize ( Vault _vault , uint64 _periodDuration ) external onlyInit { initialized ( ) ; require ( isContract ( _vault ) , ERROR_VAULT_NOT_CONTRACT ) ; vault = _vault ; require ( _periodDuration >= 1 days , ERROR_INIT_PERIOD_TOO_SHORT ) ; settings . periodDuration = _periodDuration ; payments [ 0 ] . inactive = true ; paymentsNextIndex = 1 ; transactionsNextIndex = 1 ; _newPeriod ( getTimestamp64 ( ) ) ; }
","Initialize Finance app for Vault at ` _vault ` with period length of ` @ transformTime ( _periodDuration ) `
"
